0,608
1,761
2,1298
3,1210
4,930
5,657
6,382
7,408
8,716
9,1259
10,989
11,1192
12,372
13,191
14,936
15,699
16,889
17,812
18,1020
19,38
20,682
21,1251
22,101
23,119
24,1248
25,1208
26,1134
27,1292
28,161
29,1206
30,201
31,934
32,598
33,623
34,599
35,104
36,53
37,1099
38,157
39,315
40,1070
41,8
42,567
43,608
44,814
45,877
46,734
47,706
48,796
49,1277
50,182
51,828
52,296
53,235
54,592
55,91
56,75
57,1298
58,912
59,1115
60,94
61,1147
62,1068
63,619
64,87
65,1241
66,398
67,759
68,254
69,590
70,248
71,118
72,1207
73,926
74,957
75,238
76,570
77,345
78,1267
79,12
80,395
81,609
82,734
83,34
84,1058
85,339
86,739
87,1174
88,1279
89,809
90,1062
91,42
92,228
93,1221
94,1010
95,871
96,758
97,281
98,564
99,1172
